#,PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,First found at
1,40,https://gamedravo.com/category/girls,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,FALSE,https://gamedravo.com/
2,20,http://gamedravo.com/terms,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
3,20,http://gamedravo.com/,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,19,FALSE,
4,20,http://gamedravo.com/about,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
5,20,http://gamedravo.com/category/mobile-games,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
6,20,http://gamedravo.com/category/multiplayer,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
7,20,http://gamedravo.com/contact,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
8,20,http://gamedravo.com/category/girls,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
9,20,http://gamedravo.com/category/casual,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
10,20,http://gamedravo.com/cookies,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
11,20,http://gamedravo.com/category/arcade,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
12,20,http://gamedravo.com/category/strategy,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
13,20,http://gamedravo.com/category/racing,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
14,20,http://gamedravo.com/category/action,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
15,20,http://gamedravo.com/html-sitemap,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
16,20,http://gamedravo.com/privacy,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
17,20,http://gamedravo.com/category/adventure,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
18,20,http://gamedravo.com/category/simulator,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
19,20,http://gamedravo.com/category/puzzle,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/
20,20,http://gamedravo.com/category/sports,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,18,FALSE,http://gamedravo.com/